draw_number,draw_date,numbers
5057,2018/11/22,3501
5058,2018/11/23,8309
5059,2018/11/26,8038
5060,2018/11/27,2945
5061,2018/11/28,4460
5062,2018/11/29,3789
5063,2018/11/30,5479
5064,2018/12/03,8323
5065,2018/12/04,7127
5066,2018/12/05,6135
5067,2018/12/06,6525
5068,2018/12/07,5785
5069,2018/12/10,2621
5070,2018/12/11,3299
5071,2018/12/12,5384
5072,2018/12/13,1350
5073,2018/12/14,5853
5074,2018/12/17,8564
5075,2018/12/18,5146
5076,2018/12/19,9225
5077,2018/12/20,5575
5078,2018/12/21,6828
5079,2018/12/24,1631
5080,2018/12/25,3724
5081,2018/12/26,2822
5082,2018/12/27,3002
5083,2018/12/28,5231
5084,2019/01/04,5939
5085,2019/01/07,9061
5086,2019/01/08,3611
5087,2019/01/09,5275
5088,2019/01/10,9075
5089,2019/01/11,8011
5090,2019/01/14,9921
5091,2019/01/15,9670
5092,2019/01/16,0294
5093,2019/01/17,1979
5094,2019/01/18,7632
5095,2019/01/21,2125
5096,2019/01/22,2789
5097,2019/01/23,3142
5098,2019/01/24,3345
5099,2019/01/25,7632
5100,2019/01/28,2835
5101,2019/01/29,4361
5102,2019/01/30,1980
5103,2019/01/31,9845
5104,2019/02/01,3274
5105,2019/02/04,8661
5106,2019/02/05,5196
5107,2019/02/06,2811
5108,2019/02/07,6537
5109,2019/02/08,1996
5110,2019/02/11,4304
5111,2019/02/12,7771
5112,2019/02/13,4259
5113,2019/02/14,4072
5114,2019/02/15,0359
5115,2019/02/18,1906
5116,2019/02/19,8370
5117,2019/02/20,0952
5118,2019/02/21,9572
5119,2019/02/22,4397
5120,2019/02/25,5406
5121,2019/02/26,2133
